"Reporting starts","Reporting ends","Campaign name",Age,Gender,"Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (VND)",Impressions,Reach,Ends,"Attribution setting","Total messaging contacts","New messaging contacts","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (VND)","Messaging conversations started","Cost per messaging conversation started (VND)","Clicks (all)"
2026-02-01,2026-03-01,linh,18-24,female,active,11,actions:onsite_conversion.lead_grouped,65960.36363636,220000,Daily,725564,7088,4838,Ongoing,"7-day click or 1-day view",18,17,,,42680.235294,17,42680.235294,119
2026-02-01,2026-03-01,linh,18-24,male,active,7,actions:onsite_conversion.lead_grouped,140882.85714286,220000,Daily,986180,21407,15040,Ongoing,"7-day click or 1-day view",18,15,,,65745.333333,16,61636.25,907
2026-02-01,2026-03-01,linh,18-24,unknown,active,,,,220000,Daily,27691,383,283,Ongoing,"7-day click or 1-day view",,,,,,,,10
2026-02-01,2026-03-01,linh,25-34,female,active,1,actions:onsite_conversion.lead_grouped,398291,220000,Daily,398291,2918,2001,Ongoing,"7-day click or 1-day view",9,8,,,49786.375,9,44254.555556,77
2026-02-01,2026-03-01,linh,25-34,male,active,4,actions:onsite_conversion.lead_grouped,217103,220000,Daily,868412,14809,10343,Ongoing,"7-day click or 1-day view",11,11,,,78946.545455,11,78946.545455,753
2026-02-01,2026-03-01,linh,25-34,unknown,active,,,,220000,Daily,16046,186,128,Ongoing,"7-day click or 1-day view",,,,,,,,7
2026-02-01,2026-03-01,linh,35-44,female,active,,,,220000,Daily,98665,614,443,Ongoing,"7-day click or 1-day view",2,2,,,49332.5,2,49332.5,15
2026-02-01,2026-03-01,linh,35-44,male,active,1,actions:onsite_conversion.lead_grouped,324235,220000,Daily,324235,3952,3052,Ongoing,"7-day click or 1-day view",4,4,,,81058.75,4,81058.75,198
2026-02-01,2026-03-01,linh,35-44,unknown,active,,,,220000,Daily,6672,37,29,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-02-01,2026-03-01,linh,45-54,female,active,1,actions:onsite_conversion.lead_grouped,67865,220000,Daily,67865,276,215,Ongoing,"7-day click or 1-day view",1,1,,,67865,1,67865,14
2026-02-01,2026-03-01,linh,45-54,male,active,1,actions:onsite_conversion.lead_grouped,125153,220000,Daily,125153,1525,1216,Ongoing,"7-day click or 1-day view",1,1,,,125153,1,125153,77
2026-02-01,2026-03-01,linh,45-54,unknown,active,,,,220000,Daily,1238,14,10,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-02-01,2026-03-01,linh,55-64,female,active,,,,220000,Daily,20400,105,76,Ongoing,"7-day click or 1-day view",1,1,,,20400,1,20400,3
2026-02-01,2026-03-01,linh,55-64,male,active,,,,220000,Daily,44601,345,260,Ongoing,"7-day click or 1-day view",,,,,,,,17
2026-02-01,2026-03-01,linh,55-64,unknown,active,,,,220000,Daily,2,1,1,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-02-01,2026-03-01,linh,65+,female,active,1,actions:onsite_conversion.lead_grouped,45577,220000,Daily,45577,86,56,Ongoing,"7-day click or 1-day view",1,1,,,45577,1,45577,10
2026-02-01,2026-03-01,linh,65+,male,active,,,,220000,Daily,44903,298,218,Ongoing,"7-day click or 1-day view",,,,,,,,19
2026-02-01,2026-03-01,linh,65+,unknown,active,,,,220000,Daily,179,2,2,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-02-01,2026-03-01,ttlinh,18-24,female,active,258,actions:post_engagement,13.43023256,50000,Daily,3465,408,363,Ongoing,"7-day click or 1-day view",,,,,,,,8
2026-02-01,2026-03-01,ttlinh,18-24,male,active,7614,actions:post_engagement,14.17467822,50000,Daily,107926,12815,10680,Ongoing,"7-day click or 1-day view",,,,,,,,982
2026-02-01,2026-03-01,ttlinh,18-24,unknown,active,103,actions:post_engagement,15.4368932,50000,Daily,1590,177,149,Ongoing,"7-day click or 1-day view",,,,,,,,21
2026-02-01,2026-03-01,ttlinh,25-34,female,active,368,actions:post_engagement,13.43206522,50000,Daily,4943,557,502,Ongoing,"7-day click or 1-day view",,,,,,,,9
2026-02-01,2026-03-01,ttlinh,25-34,male,active,11087,actions:post_engagement,13.56164878,50000,Daily,150358,18042,16378,Ongoing,"7-day click or 1-day view",,,,,,,,580
2026-02-01,2026-03-01,ttlinh,25-34,unknown,active,43,actions:post_engagement,14.39534884,50000,Daily,619,72,69,Ongoing,"7-day click or 1-day view",,,,,,,,4
2026-02-01,2026-03-01,ttlinh,35-44,female,active,529,actions:post_engagement,12.93383743,50000,Daily,6842,812,749,Ongoing,"7-day click or 1-day view",,,,,,,,6
2026-02-01,2026-03-01,ttlinh,35-44,male,active,23308,actions:post_engagement,12.66916938,50000,Daily,295293,35844,31204,Ongoing,"7-day click or 1-day view",,,,,,,,401
2026-02-01,2026-03-01,ttlinh,35-44,unknown,active,54,actions:post_engagement,14.33333333,50000,Daily,774,87,81,Ongoing,"7-day click or 1-day view",,,,,,,,3
2026-02-01,2026-03-01,ttlinh,45-54,female,active,385,actions:post_engagement,12.94805195,50000,Daily,4985,592,548,Ongoing,"7-day click or 1-day view",,,,,,,,4
2026-02-01,2026-03-01,ttlinh,45-54,male,active,15031,actions:post_engagement,12.34062937,50000,Daily,185492,22081,19095,Ongoing,"7-day click or 1-day view",1,1,,,185492,1,185492,192
2026-02-01,2026-03-01,ttlinh,45-54,unknown,active,43,actions:post_engagement,13.23255814,50000,Daily,569,68,58,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-02-01,2026-03-01,ttlinh,55-64,female,active,249,actions:post_engagement,12.58232932,50000,Daily,3133,337,308,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-02-01,2026-03-01,ttlinh,55-64,male,active,5959,actions:post_engagement,13.04598087,50000,Daily,77741,8361,7147,Ongoing,"7-day click or 1-day view",,,,,,,,67
2026-02-01,2026-03-01,ttlinh,55-64,unknown,active,17,actions:post_engagement,13.17647059,50000,Daily,224,21,17,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-02-01,2026-03-01,ttlinh,65+,female,active,98,actions:post_engagement,13.36734694,50000,Daily,1310,140,123,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-02-01,2026-03-01,ttlinh,65+,male,active,2529,actions:post_engagement,12.97350732,50000,Daily,32810,3360,2761,Ongoing,"7-day click or 1-day view",,,,,,,,44
2026-02-01,2026-03-01,ttlinh,65+,unknown,active,10,actions:post_engagement,11.5,50000,Daily,115,11,10,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-02-01,2026-03-01,ttmanh,18-24,female,active,364,actions:post_engagement,20.58791209,51000,Daily,7494,702,601,Ongoing,"7-day click or 1-day view",,,,,,,,6
2026-02-01,2026-03-01,ttmanh,18-24,male,active,1643,actions:post_engagement,20.17346318,51000,Daily,33145,3355,2778,Ongoing,"7-day click or 1-day view",,,,,,,,34
2026-02-01,2026-03-01,ttmanh,18-24,unknown,active,27,actions:post_engagement,22.7037037,51000,Daily,613,63,52,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-02-01,2026-03-01,ttmanh,25-34,female,active,482,actions:post_engagement,19.98340249,51000,Daily,9632,895,759,Ongoing,"7-day click or 1-day view",,,,,,,,3
2026-02-01,2026-03-01,ttmanh,25-34,male,active,4690,actions:post_engagement,19.46098081,51000,Daily,91272,9508,8669,Ongoing,"7-day click or 1-day view",1,1,,,91272,1,91272,85
2026-02-01,2026-03-01,ttmanh,25-34,unknown,active,46,actions:post_engagement,19.36956522,51000,Daily,891,82,66,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-02-01,2026-03-01,ttmanh,35-44,female,active,914,actions:post_engagement,20.23960613,51000,Daily,18499,1713,1438,Ongoing,"7-day click or 1-day view",,,,,,,,12
2026-02-01,2026-03-01,ttmanh,35-44,male,active,10513,actions:post_engagement,20.18472368,51000,Daily,212202,21381,18043,Ongoing,"7-day click or 1-day view",1,1,,,212202,1,212202,125
2026-02-01,2026-03-01,ttmanh,35-44,unknown,active,35,actions:post_engagement,20.97142857,51000,Daily,734,74,65,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-02-01,2026-03-01,ttmanh,45-54,female,active,1701,actions:post_engagement,20.27630805,51000,Daily,34490,2905,2406,Ongoing,"7-day click or 1-day view",,,,,,,,28
2026-02-01,2026-03-01,ttmanh,45-54,male,active,13795,actions:post_engagement,20.10721276,51000,Daily,277379,25255,18739,Ongoing,"7-day click or 1-day view",1,1,,,277379,1,277379,141
2026-02-01,2026-03-01,ttmanh,45-54,unknown,active,53,actions:post_engagement,20.52830189,51000,Daily,1088,99,77,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-02-01,2026-03-01,ttmanh,55-64,female,active,1148,actions:post_engagement,21.31968641,51000,Daily,24475,1950,1543,Ongoing,"7-day click or 1-day view",,,,,,,,17
2026-02-01,2026-03-01,ttmanh,55-64,male,active,7770,actions:post_engagement,20.63075933,51000,Daily,160301,13159,10338,Ongoing,"7-day click or 1-day view",,,,,,,,83
2026-02-01,2026-03-01,ttmanh,55-64,unknown,active,24,actions:post_engagement,20,51000,Daily,480,38,28,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-02-01,2026-03-01,ttmanh,65+,female,active,582,actions:post_engagement,21.36082474,51000,Daily,12432,926,762,Ongoing,"7-day click or 1-day view",,,,,,,,7
2026-02-01,2026-03-01,ttmanh,65+,male,active,3113,actions:post_engagement,20.8936717,51000,Daily,65042,4895,3811,Ongoing,"7-day click or 1-day view",,,,,,,,43
2026-02-01,2026-03-01,ttmanh,65+,unknown,active,11,actions:post_engagement,16.90909091,51000,Daily,186,13,12,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-02-01,2026-03-01,linh3,18-24,female,active,7,actions:onsite_conversion.lead_grouped,60454.85714286,225000,Daily,423184,5456,3975,Ongoing,"7-day click or 1-day view",13,13,,,32552.615385,13,32552.615385,101
2026-02-01,2026-03-01,linh3,18-24,male,active,5,actions:onsite_conversion.lead_grouped,168215.4,225000,Daily,841077,22379,16011,Ongoing,"7-day click or 1-day view",12,10,,,84107.7,12,70089.75,975
2026-02-01,2026-03-01,linh3,18-24,unknown,active,,,,225000,Daily,23138,397,305,Ongoing,"7-day click or 1-day view",,,,,,,,14
2026-02-01,2026-03-01,linh3,25-34,female,active,3,actions:onsite_conversion.lead_grouped,87428,225000,Daily,262284,2220,1725,Ongoing,"7-day click or 1-day view",11,10,,,26228.4,10,26228.4,75
2026-02-01,2026-03-01,linh3,25-34,male,active,5,actions:onsite_conversion.lead_grouped,142781.8,225000,Daily,713909,13410,10519,Ongoing,"7-day click or 1-day view",16,16,,,44619.3125,16,44619.3125,701
2026-02-01,2026-03-01,linh3,25-34,unknown,active,,,,225000,Daily,12641,187,141,Ongoing,"7-day click or 1-day view",,,,,,,,7
2026-02-01,2026-03-01,linh3,35-44,female,active,,,,225000,Daily,85760,568,457,Ongoing,"7-day click or 1-day view",,,,,,,,24
2026-02-01,2026-03-01,linh3,35-44,male,active,,,,225000,Daily,291071,4301,3474,Ongoing,"7-day click or 1-day view",2,1,,,291071,2,145535.5,250
2026-02-01,2026-03-01,linh3,35-44,unknown,active,,,,225000,Daily,8064,32,27,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-02-01,2026-03-01,linh3,45-54,female,active,,,,225000,Daily,37767,314,256,Ongoing,"7-day click or 1-day view",1,1,,,37767,1,37767,18
2026-02-01,2026-03-01,linh3,45-54,male,active,,,,225000,Daily,154215,1940,1623,Ongoing,"7-day click or 1-day view",1,1,,,154215,1,154215,112
2026-02-01,2026-03-01,linh3,45-54,unknown,active,,,,225000,Daily,2786,15,14,Ongoing,"7-day click or 1-day view",,,,,,,,1
2026-02-01,2026-03-01,linh3,55-64,female,active,,,,225000,Daily,17465,94,74,Ongoing,"7-day click or 1-day view",2,,,,,1,17465,3
